Canonical_SMILES	Source
O1[C]2O[C]=[C][C]2C2=c3oc4=[C][C]=[C]C(=c4c(=O)c3=C([C]=C12)O[C])O	PDBQT/dock_0001.pdbqt
O1[C]2O[C]=[C][C]2C2=c3oc4=[C][C]=[C]C(=c4c(=O)c3=C([C]=C12)O[C])O	PDBQT/dock_0002.pdbqt
O1[C]2O[C][C][C]2C2=c3oc4=[C][C]=[C]C(=c4c(=O)c3=C([C]=C12)O[C])O	PDBQT/dock_0003.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=C(C(=C([C]=c12)O)[C][C]=C([C])[C])O)[C][C]=C([C])[C])O[C])O	PDBQT/dock_0004.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2c1[C]=C(C(=[C]2)O)O)O)[C]1O[C]([C]([C]([C]1O)O)O)[C]O)O	PDBQT/dock_0005.pdbqt
o1c2c(c(=O)c3c1[C]=[C][C]=[C]3)[C]=[C][C]=[C]2	PDBQT/dock_0006.pdbqt
O1C([C][C]C2=C(c3c(oc4=[C]C(=C(C(=c4c3=O)[C][C]=C([C])[C])O[C])O)[C]=C12)O)([C])[C]	PDBQT/dock_0007.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2c1[C]=C(C(=C2O)[C][C]=C([C])[C])O)[C][C]=C([C])[C])O)O	PDBQT/dock_0008.pdbqt
o1c2c(c(=O)c3c1C(=[C][C]=[C]3)[C]C(=O)O)[C]=[C]C(=C2[C])[C]	PDBQT/dock_0009.pdbqt
o1c2c(c(c(c(c2c(=O)c2=[C][C]=C([C]=c12)O)O)[C][C]=C([C])[C])O)[C][C]=C([C])[C]	PDBQT/dock_0010.pdbqt
O1C([C]=[C]C2=C1C(=c1oc3=[C]C(=[C]C(=c3c(=O)c1=[C]2)O)O)O)([C])[C]	PDBQT/dock_0011.pdbqt
o1c2=[C]C(=C([C]=c2c(=O)c2=C([C]=C([C]=c12)O)O)O[C])O	PDBQT/dock_0012.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=C(C(=C([C]=c12)O)[C][C]=C([C])[C])O)[C][C]C([C])([C])O)O)O	PDBQT/dock_0013.pdbqt
O1C([C][C]C2=C1C(=[C]c1oc3c(C(=C4[C][C]C(OC4=[C]3)([C])[C])O)c(=O)c21)O)([C])[C]	PDBQT/dock_0014.pdbqt
O1C([C][C]C2=C1c1c(oc3=[C]C(=C(C(=c3c1=O)[C][C]C([C])([C])O)O[C])O)[C]=C2O)([C])[C]	PDBQT/dock_0015.pdbqt
O1C([C][C]C2=C1[C]=c1oc3c(C(=C(C(=[C]3)O)O[C])[C][C]C([C])([C])O)c(=O)c1=C2O)([C])[C]	PDBQT/dock_0016.pdbqt
O1C([C]=[C]c2c1c(c1oc3=C(C(=[C]C(=c3c(=O)c1c2O)O[C])O[C])O[C])O[C])([C])[C]	PDBQT/dock_0017.pdbqt
O1C([C]=[C]c2c1c(c1oc3=C(C(=[C][C]=c3c(=O)c1c2O[C])O[C])O[C])O[C])([C])[C]	PDBQT/dock_0018.pdbqt
O1C([C]=[C]c2c1c(c1oc3c(c(=O)c1c2O)[C]=C([C]=[C]3)O)O)([C])[C]	PDBQT/dock_0019.pdbqt
o1c2c(C(=C(C(=[C]2)O[C])[C][C]=C([C])[C])O)c(=O)c2c1C(=[C][C]=[C]2)O	PDBQT/dock_0020.pdbqt
o1c2c(c(c(c(c2[C][C]=C([C])[C])O)O)[C][C]=C([C])[C])c(=O)c2=C(C(=C([C]=c12)O)[C][C]=C([C])[C])O	PDBQT/dock_0021.pdbqt
